"address","dateOfPosting","status","numberOfLikes","numberOfBathroom","numberOfBedroom","homeValue","sqft","streetName","cityName","stateName","zipCode","homeImage"
"634 Cartwright Park","2018-10-16T07:21:18.033Z","FOR SALE",55,2,0,755486,807,"18422 Lemuel Spur","Rockville","MD",20854,"hi"
"635 Cartwright Park","2018-06-25T23:35:13.085Z","FOR SALE",195,3,7,3172472,506,"109 Hilll Curve","Rockville","MD",20877,"hi"
"636 Cartwright Park","2018-08-27T08:34:10.361Z","SOLD",1,0,7,2188478,3818,"30843 Vincenza Trace","Rockville","MD",20850,"hi"
"637 Cartwright Park","2018-10-07T11:42:45.969Z","SOLD",123,2,8,2804648,1376,"6138 Shanahan Lake","Rockville","MD",20848,"hi"
"638 Cartwright Park","2018-06-12T21:05:29.493Z","FORECLOSURE",160,4,3,1000550,2959,"420 Halvorson Lake","Rockville","MD",20877,"hi"
"639 Cartwright Park","2018-08-17T07:15:13.493Z","SOLD",100,1,2,2936415,3111,"78520 Greenfelder Plain","Rockville","MD",20847,"hi"
"640 Cartwright Park","2018-06-13T11:49:10.533Z","FOR SALE",103,3,1,597532,2240,"8389 O'Connell Forest","Rockville","MD",20853,"hi"
"641 Cartwright Park","2018-08-29T17:07:52.631Z","FOR SALE",185,0,1,2124033,3257,"724 Weber Curve","Rockville","MD",20853,"hi"
"642 Cartwright Park","2018-09-24T16:21:00.355Z","AUCTION",59,2,4,2035616,3669,"16180 Mikayla Place","Rockville","MD",20847,"hi"
"643 Cartwright Park","2018-10-19T14:43:05.038Z","FORECLOSURE",3,4,1,564299,996,"26091 Brock Isle","Rockville","MD",20854,"hi"
"644 Cartwright Park","2018-07-08T05:01:55.579Z","AUCTION",154,1,4,1803410,697,"041 Tillman Terrace","Rockville","MD",20852,"hi"
"645 Cartwright Park","2018-09-14T20:00:19.173Z","OFF MARKET",58,3,10,3028813,558,"001 Tillman Plaza","Rockville","MD",20857,"hi"
"646 Cartwright Park","2018-10-07T14:27:24.737Z","OFF MARKET",53,2,2,1845489,1405,"353 Bayer Islands","Rockville","MD",20852,"hi"
"647 Cartwright Park","2018-06-24T11:08:35.337Z","OFF MARKET",35,4,3,1921459,3170,"633 Goyette Burg","Rockville","MD",20852,"hi"
"648 Cartwright Park","2018-06-01T11:40:40.677Z","AUCTION",20,1,5,1128674,3989,"605 April Glens","Rockville","MD",20857,"hi"
"649 Cartwright Park","2018-10-13T08:14:21.181Z","OFF MARKET",34,0,2,545500,977,"0761 Itzel Ranch","Rockville","MD",20852,"hi"
"650 Cartwright Park","2018-08-07T22:23:21.206Z","OFF MARKET",2,4,3,120633,3232,"78603 Barrett Throughway","Rockville","MD",20877,"hi"
"651 Cartwright Park","2018-07-15T16:57:25.834Z","SOLD",194,4,2,2032237,635,"5474 Rempel Plaza","Rockville","MD",20851,"hi"
"652 Cartwright Park","2018-07-15T00:56:04.717Z","FOR SALE",182,2,6,3046804,2274,"108 Grady Track","Rockville","MD",20850,"hi"
"653 Cartwright Park","2018-05-05T05:56:32.686Z","OFF MARKET",162,4,8,3785842,3331,"6088 Dickens Pass","Rockville","MD",20847,"hi"
"654 Cartwright Park","2018-07-23T01:43:25.768Z","FOR SALE",19,3,2,980540,402,"5328 Sigurd Causeway","Rockville","MD",20877,"hi"
"655 Cartwright Park","2018-06-18T07:22:58.082Z","FOR RENT",24,3,3,3640189,999,"0714 Modesta Track","Rockville","MD",20852,"hi"
"656 Cartwright Park","2018-05-13T06:24:06.469Z","OFF MARKET",107,0,7,645179,2299,"79351 Willow Street","Rockville","MD",20857,"hi"
"657 Cartwright Park","2018-10-04T08:16:41.423Z","FOR RENT",89,0,10,3032790,2401,"161 Ethyl Road","Rockville","MD",20849,"hi"
"658 Cartwright Park","2018-06-30T21:48:00.049Z","FOR RENT",82,1,6,711767,2378,"331 Aubrey Port","Rockville","MD",20850,"hi"
"659 Cartwright Park","2018-05-23T13:04:14.605Z","FORECLOSURE",104,1,10,1336724,1076,"0630 McCullough Walks","Rockville","MD",20851,"hi"
"660 Cartwright Park","2018-05-16T06:12:10.519Z","FOR SALE",148,2,10,114531,2711,"850 Kautzer Prairie","Rockville","MD",20847,"hi"
"661 Cartwright Park","2018-08-08T17:57:00.963Z","SOLD",131,3,10,1459394,1398,"99939 Bernhard Ridge","Rockville","MD",20854,"hi"
"662 Cartwright Park","2018-08-21T06:08:16.669Z","FOR RENT",184,0,8,3946462,3757,"54163 Hintz Skyway","Rockville","MD",20852,"hi"
"663 Cartwright Park","2018-07-30T03:31:31.173Z","FOR SALE",25,4,8,3547391,2836,"66427 Kris Gardens","Rockville","MD",20849,"hi"
"664 Cartwright Park","2018-07-21T22:43:05.359Z","FOR RENT",44,4,10,2713509,1955,"807 Minnie Port","Rockville","MD",20848,"hi"
"665 Cartwright Park","2018-10-16T17:55:38.542Z","FOR RENT",164,4,7,3178066,602,"097 Leola Estates","Rockville","MD",20857,"hi"
"666 Cartwright Park","2018-09-14T08:59:17.131Z","AUCTION",158,0,0,2187106,2223,"61261 Jane View","Rockville","MD",20851,"hi"
"667 Cartwright Park","2018-06-27T15:34:37.941Z","FORECLOSURE",187,1,9,1480154,3059,"4359 Amparo Rest","Rockville","MD",20849,"hi"
"668 Cartwright Park","2018-05-28T19:00:38.910Z","OFF MARKET",124,2,8,1592415,3734,"0888 Reichel Passage","Rockville","MD",20847,"hi"
"669 Cartwright Park","2018-07-06T20:20:35.907Z","FOR SALE",48,1,2,3571219,1091,"900 Blanda Crossing","Rockville","MD",20849,"hi"
"670 Cartwright Park","2018-06-07T11:35:33.068Z","AUCTION",76,3,4,2783864,3142,"236 Clemens Walk","Rockville","MD",20857,"hi"
"671 Cartwright Park","2018-09-21T11:07:49.273Z","AUCTION",29,3,10,3693393,1729,"7301 Mayra Brooks","Rockville","MD",20877,"hi"
"672 Cartwright Park","2018-06-08T22:15:36.369Z","AUCTION",14,3,8,531961,1640,"85588 Cora Route","Rockville","MD",20848,"hi"
"673 Cartwright Park","2018-09-12T02:40:00.623Z","FORECLOSURE",108,3,4,701156,3504,"056 Deckow Station","Rockville","MD",20854,"hi"
"674 Cartwright Park","2018-09-12T21:38:15.102Z","FOR RENT",49,3,0,2331000,3694,"388 Alejandra Station","Rockville","MD",20853,"hi"
"675 Cartwright Park","2018-08-02T00:29:01.844Z","SOLD",175,2,3,1032898,3560,"607 Welch Glens","Rockville","MD",20852,"hi"
"676 Cartwright Park","2018-09-10T09:15:23.799Z","FOR RENT",149,0,6,1607118,594,"68171 Johnston Roads","Rockville","MD",20848,"hi"
"677 Cartwright Park","2018-07-24T16:36:55.025Z","FORECLOSURE",178,2,8,3698321,935,"241 Kiley Ridges","Rockville","MD",20877,"hi"
"678 Cartwright Park","2018-05-04T18:58:29.338Z","OFF MARKET",45,3,2,107131,2620,"3333 Graciela Row","Rockville","MD",20849,"hi"
"679 Cartwright Park","2018-07-08T04:27:17.982Z","AUCTION",133,0,5,1675361,1027,"84518 Providenci Keys","Rockville","MD",20877,"hi"
"680 Cartwright Park","2018-05-11T16:59:22.253Z","SOLD",7,1,2,1275701,1576,"531 Tressie Roads","Rockville","MD",20852,"hi"
"681 Cartwright Park","2018-08-05T18:17:05.599Z","FOR SALE",157,2,7,3982676,2313,"939 Oberbrunner Walk","Rockville","MD",20854,"hi"
"682 Cartwright Park","2018-06-07T11:01:04.679Z","FORECLOSURE",13,3,0,991659,3319,"09216 Adan Harbors","Rockville","MD",20877,"hi"
"683 Cartwright Park","2018-09-17T10:09:01.839Z","OFF MARKET",3,0,9,2416953,718,"668 Osinski Plaza","Rockville","MD",20852,"hi"
"684 Cartwright Park","2018-08-22T02:55:55.082Z","FORECLOSURE",110,1,3,3960751,1506,"0057 Graham Creek","Rockville","MD",20853,"hi"
"685 Cartwright Park","2018-09-21T10:42:25.415Z","FORECLOSURE",171,0,10,3663061,3391,"34832 Hassan Cove","Rockville","MD",20849,"hi"
"686 Cartwright Park","2018-07-19T21:51:01.160Z","FOR RENT",181,0,5,1654946,3972,"9660 Tromp Summit","Rockville","MD",20851,"hi"
"687 Cartwright Park","2018-07-17T17:40:49.252Z","FOR RENT",87,0,3,2782564,3541,"714 Bergstrom Forest","Rockville","MD",20853,"hi"
"688 Cartwright Park","2018-07-25T00:55:38.513Z","FOR SALE",143,1,1,649822,2300,"19197 Bednar Villages","Rockville","MD",20850,"hi"
"689 Cartwright Park","2018-10-17T23:23:33.052Z","FORECLOSURE",192,3,7,2978406,1461,"3716 Lawrence Circle","Rockville","MD",20848,"hi"
"690 Cartwright Park","2018-10-11T01:35:12.157Z","FORECLOSURE",16,0,3,2959541,374,"702 Goldner Dale","Rockville","MD",20848,"hi"
"691 Cartwright Park","2018-08-10T19:58:12.074Z","FOR RENT",183,4,2,1725423,3416,"5378 Emard Plaza","Rockville","MD",20854,"hi"
"692 Cartwright Park","2018-09-15T09:29:33.727Z","FORECLOSURE",122,4,2,3175198,3758,"6927 Reynolds Forks","Rockville","MD",20850,"hi"
"693 Cartwright Park","2018-09-25T21:32:11.696Z","SOLD",6,2,8,1421926,1827,"9984 Weimann Locks","Rockville","MD",20850,"hi"
"694 Cartwright Park","2018-09-07T07:14:39.439Z","FORECLOSURE",121,2,7,2035184,1781,"9296 Xzavier Rapids","Rockville","MD",20877,"hi"
"695 Cartwright Park","2018-10-17T11:22:04.826Z","AUCTION",47,1,7,174940,2139,"8495 Donnell Dam","Rockville","MD",20850,"hi"
"696 Cartwright Park","2018-07-16T06:45:07.660Z","SOLD",164,1,4,3565765,2885,"654 Elta Light","Rockville","MD",20848,"hi"
"697 Cartwright Park","2018-05-24T13:55:41.702Z","FORECLOSURE",18,2,7,931987,1417,"19705 Regan Squares","Rockville","MD",20857,"hi"
"698 Cartwright Park","2018-07-28T00:36:22.757Z","SOLD",136,0,4,1943010,477,"123 Fritz Pass","Rockville","MD",20877,"hi"
"699 Cartwright Park","2018-06-12T05:59:11.318Z","OFF MARKET",113,2,2,1473796,1623,"599 Marquardt Estate","Rockville","MD",20848,"hi"
"700 Cartwright Park","2018-07-28T22:33:38.187Z","SOLD",5,4,8,2704180,2938,"3731 Kenna Manors","Rockville","MD",20851,"hi"
"701 Cartwright Park","2018-09-29T07:00:47.811Z","SOLD",95,2,9,104786,1742,"52729 Kassulke Centers","Rockville","MD",20851,"hi"
"702 Cartwright Park","2018-05-13T05:01:27.616Z","FORECLOSURE",80,1,3,3155095,2611,"3251 Desiree Tunnel","Rockville","MD",20854,"hi"
"703 Cartwright Park","2018-06-21T22:14:07.947Z","FOR RENT",164,0,4,3821662,3584,"800 Alford Manors","Rockville","MD",20848,"hi"
"704 Cartwright Park","2018-05-27T06:32:31.907Z","OFF MARKET",98,4,7,288499,3729,"86038 Gretchen Mountain","Rockville","MD",20850,"hi"
"705 Cartwright Park","2018-07-18T10:23:22.488Z","FOR RENT",58,4,10,3428062,678,"70536 DuBuque Field","Rockville","MD",20847,"hi"
"706 Cartwright Park","2018-10-08T13:59:14.604Z","SOLD",16,2,1,3593883,3743,"045 Devan Ford","Rockville","MD",20852,"hi"
"707 Cartwright Park","2018-08-21T09:15:55.984Z","AUCTION",90,0,7,426316,2478,"5364 Ariel Walks","Rockville","MD",20847,"hi"
"708 Cartwright Park","2018-05-01T15:29:25.575Z","FOR RENT",78,2,5,2705239,2061,"753 Crooks Wall","Rockville","MD",20853,"hi"
"709 Cartwright Park","2018-10-18T22:43:33.973Z","FOR RENT",106,4,7,233326,1518,"2682 Joshuah Row","Rockville","MD",20850,"hi"
"710 Cartwright Park","2018-07-16T06:53:33.098Z","FOR SALE",19,0,10,3763953,3847,"57848 Cletus Forges","Rockville","MD",20847,"hi"
"711 Cartwright Park","2018-09-10T02:57:40.042Z","OFF MARKET",192,3,4,3345037,333,"293 Syble Mountains","Rockville","MD",20852,"hi"
"712 Cartwright Park","2018-08-23T14:35:22.491Z","FORECLOSURE",37,1,4,3693926,1802,"189 Corine Mews","Rockville","MD",20857,"hi"
"713 Cartwright Park","2018-07-21T22:16:39.877Z","FOR SALE",14,1,2,439900,3035,"06927 Mireya Ways","Rockville","MD",20857,"hi"
"714 Cartwright Park","2018-09-28T09:57:25.876Z","OFF MARKET",54,0,9,308334,3393,"7659 Isai Mall","Rockville","MD",20847,"hi"
"715 Cartwright Park","2018-08-23T11:02:51.703Z","FOR SALE",79,3,2,3119626,3890,"995 Elna Terrace","Rockville","MD",20849,"hi"
"716 Cartwright Park","2018-06-23T09:02:18.075Z","SOLD",81,1,10,3225785,733,"932 Nyasia Lodge","Rockville","MD",20854,"hi"
"717 Cartwright Park","2018-05-04T11:02:27.084Z","FOR SALE",191,0,9,1664208,2758,"227 Luettgen Center","Rockville","MD",20877,"hi"
"718 Cartwright Park","2018-06-03T16:32:54.724Z","SOLD",39,2,7,315224,3042,"40286 Willa Mall","Rockville","MD",20850,"hi"
"719 Cartwright Park","2018-10-06T23:55:56.514Z","AUCTION",63,3,7,239943,3393,"27410 Lemke Bridge","Rockville","MD",20850,"hi"
"720 Cartwright Park","2018-06-05T23:02:15.172Z","FORECLOSURE",9,3,4,464731,3119,"5661 Roy Tunnel","Rockville","MD",20854,"hi"
"721 Cartwright Park","2018-06-05T16:03:31.641Z","AUCTION",58,2,10,157912,2393,"182 Streich Underpass","Rockville","MD",20857,"hi"
"722 Cartwright Park","2018-05-05T12:54:03.993Z","FOR SALE",19,4,3,3115181,2198,"676 Murray Estate","Rockville","MD",20849,"hi"
"723 Cartwright Park","2018-06-02T12:58:29.482Z","AUCTION",133,0,8,1365072,701,"867 Rau Fields","Rockville","MD",20853,"hi"
"724 Cartwright Park","2018-06-14T21:23:08.212Z","OFF MARKET",88,1,3,596037,2172,"78834 Hoeger Row","Rockville","MD",20851,"hi"
"725 Cartwright Park","2018-09-22T23:25:48.209Z","OFF MARKET",106,4,8,3719557,1211,"095 Waino Ville","Rockville","MD",20857,"hi"
"726 Cartwright Park","2018-10-10T23:56:14.119Z","FORECLOSURE",37,4,3,3720076,3879,"647 Zoie Lock","Rockville","MD",20849,"hi"
"727 Cartwright Park","2018-08-27T19:39:22.551Z","FORECLOSURE",194,4,7,2990600,2404,"247 Alyce Lakes","Rockville","MD",20857,"hi"
"728 Cartwright Park","2018-05-20T00:48:10.360Z","SOLD",196,2,9,3876063,3759,"192 Josue Pike","Rockville","MD",20849,"hi"
"729 Cartwright Park","2018-09-19T22:19:49.352Z","OFF MARKET",186,3,5,272936,2388,"11198 Adelle Parkways","Rockville","MD",20853,"hi"
"730 Cartwright Park","2018-05-20T15:06:12.566Z","FORECLOSURE",132,1,0,391483,1071,"160 Verner Prairie","Rockville","MD",20850,"hi"
"731 Cartwright Park","2018-07-18T11:24:29.686Z","SOLD",140,0,8,3012466,3546,"8988 Dickinson Estate","Rockville","MD",20851,"hi"
"732 Cartwright Park","2018-07-01T07:59:44.942Z","AUCTION",114,3,8,3937187,344,"7644 Goldner Light","Rockville","MD",20850,"hi"
"733 Cartwright Park","2018-08-10T16:13:27.403Z","FOR SALE",134,0,8,2469238,548,"7062 Rohan Hill","Rockville","MD",20847,"hi"
"734 Cartwright Park","2018-09-03T02:02:34.685Z","FORECLOSURE",105,4,8,1283383,1988,"2324 Else Corner","Rockville","MD",20852,"hi"
"735 Cartwright Park","2018-08-29T00:53:12.344Z","FORECLOSURE",51,2,3,2625590,3031,"942 Birdie Radial","Rockville","MD",20852,"hi"
"736 Cartwright Park","2018-10-16T03:24:36.373Z","OFF MARKET",167,4,5,2700623,1498,"9640 Madelyn Manors","Rockville","MD",20877,"hi"
"737 Cartwright Park","2018-09-10T03:36:45.402Z","FOR SALE",164,3,6,1101785,2020,"18705 Camren Dam","Rockville","MD",20857,"hi"
"738 Cartwright Park","2018-10-01T19:36:07.498Z","FOR SALE",56,2,4,816696,2631,"252 Gerlach Point","Rockville","MD",20850,"hi"
"739 Cartwright Park","2018-10-13T17:19:18.448Z","FORECLOSURE",51,1,2,2862824,3779,"32097 Annamae Terrace","Rockville","MD",20854,"hi"
"740 Cartwright Park","2018-08-10T03:52:21.310Z","FORECLOSURE",178,3,4,3177367,1470,"21514 Hettie Viaduct","Rockville","MD",20849,"hi"
"741 Cartwright Park","2018-08-10T02:30:19.565Z","FOR RENT",42,3,0,1443271,3942,"320 Kole Unions","Rockville","MD",20854,"hi"
"742 Cartwright Park","2018-10-09T19:09:10.592Z","FOR RENT",36,1,7,2759182,306,"3491 Felix Club","Rockville","MD",20853,"hi"
"743 Cartwright Park","2018-06-19T05:58:00.705Z","SOLD",84,2,0,1003750,2284,"65762 Chris Gateway","Rockville","MD",20849,"hi"
"744 Cartwright Park","2018-09-15T00:19:20.098Z","FORECLOSURE",192,1,4,796322,835,"42156 Ibrahim Glens","Rockville","MD",20857,"hi"
"745 Cartwright Park","2018-07-18T05:51:40.890Z","FOR SALE",152,0,7,3595994,969,"7726 Nannie Village","Rockville","MD",20877,"hi"
"746 Cartwright Park","2018-10-21T21:12:07.224Z","SOLD",75,1,10,1928894,2535,"33558 Gerlach Estates","Rockville","MD",20854,"hi"
"747 Cartwright Park","2018-07-29T09:39:10.505Z","FORECLOSURE",86,1,8,1189224,3011,"54605 Luciano Mountains","Rockville","MD",20849,"hi"
"748 Cartwright Park","2018-09-27T09:31:09.485Z","SOLD",18,3,4,3867765,520,"38389 Connelly Haven","Rockville","MD",20851,"hi"
"749 Cartwright Park","2018-05-07T12:12:49.905Z","OFF MARKET",169,1,8,3612931,775,"008 Altenwerth Lake","Rockville","MD",20857,"hi"
"750 Cartwright Park","2018-08-03T05:18:14.715Z","SOLD",180,4,10,2482118,2250,"5704 Sigrid Villages","Rockville","MD",20857,"hi"
"751 Cartwright Park","2018-09-27T11:26:53.822Z","SOLD",47,2,0,2021101,3629,"58816 Halle Springs","Rockville","MD",20857,"hi"
"752 Cartwright Park","2018-06-19T20:11:58.580Z","FOR RENT",74,4,1,2686012,1951,"92446 Hannah Plains","Rockville","MD",20877,"hi"
"753 Cartwright Park","2018-07-17T18:37:13.679Z","FOR SALE",106,4,2,1004347,942,"06724 Prosacco Green","Rockville","MD",20857,"hi"
"754 Cartwright Park","2018-06-06T07:46:30.878Z","FOR SALE",69,3,3,1964585,804,"8418 Audreanne Groves","Rockville","MD",20849,"hi"
"755 Cartwright Park","2018-10-20T04:32:32.062Z","FOR SALE",188,3,5,351630,2078,"645 Hettinger Court","Rockville","MD",20847,"hi"
"756 Cartwright Park","2018-09-12T21:25:17.852Z","AUCTION",62,1,2,3105056,669,"72342 Archibald Extension","Rockville","MD",20853,"hi"
"757 Cartwright Park","2018-08-01T20:14:50.854Z","OFF MARKET",166,4,3,1586631,386,"6921 Runolfsson Neck","Rockville","MD",20850,"hi"
"758 Cartwright Park","2018-10-03T12:34:02.166Z","FOR RENT",79,4,7,695209,1672,"53729 Liza Turnpike","Rockville","MD",20854,"hi"
"759 Cartwright Park","2018-08-23T13:45:59.743Z","FOR SALE",192,4,10,728314,2801,"8627 Sarai Trace","Rockville","MD",20854,"hi"
"760 Cartwright Park","2018-07-06T08:38:11.478Z","FOR RENT",168,4,5,2144813,492,"46484 Kassulke Point","Rockville","MD",20852,"hi"
"761 Cartwright Park","2018-05-12T09:55:17.436Z","SOLD",120,2,3,1028853,669,"8939 Jaylan Flat","Rockville","MD",20852,"hi"
"762 Cartwright Park","2018-06-15T23:34:31.114Z","SOLD",86,3,1,1732023,3700,"862 Schaden Stream","Rockville","MD",20852,"hi"
"763 Cartwright Park","2018-06-23T12:31:03.775Z","AUCTION",48,4,1,1627338,304,"7375 Celia Manors","Rockville","MD",20877,"hi"
"764 Cartwright Park","2018-08-23T08:56:40.677Z","FOR SALE",111,2,6,3085682,3849,"618 Devan Lakes","Rockville","MD",20849,"hi"
"765 Cartwright Park","2018-06-25T20:01:27.320Z","FORECLOSURE",46,2,6,3171108,3468,"68705 Herman Forks","Rockville","MD",20848,"hi"
"766 Cartwright Park","2018-09-12T03:40:54.081Z","AUCTION",158,0,4,3828608,316,"0743 Bosco View","Rockville","MD",20849,"hi"
"767 Cartwright Park","2018-07-31T03:16:22.450Z","SOLD",86,1,0,2849598,1511,"6687 Meghan Viaduct","Rockville","MD",20850,"hi"
"768 Cartwright Park","2018-07-04T02:58:07.736Z","FORECLOSURE",140,4,5,3473242,1113,"85700 Kris Estates","Rockville","MD",20850,"hi"
"769 Cartwright Park","2018-08-11T19:58:08.634Z","OFF MARKET",98,1,2,1912252,707,"39765 Mills Flat","Rockville","MD",20851,"hi"
"770 Cartwright Park","2018-05-21T21:14:51.176Z","FOR RENT",24,2,5,1682910,1045,"888 Katheryn Alley","Rockville","MD",20849,"hi"
"771 Cartwright Park","2018-09-24T02:24:21.512Z","SOLD",175,3,6,205516,2157,"658 Keeling Shoal","Rockville","MD",20854,"hi"
"772 Cartwright Park","2018-06-18T02:11:28.621Z","SOLD",184,0,10,1351461,1381,"627 Isai Pike","Rockville","MD",20850,"hi"
"773 Cartwright Park","2018-07-20T07:14:13.987Z","FORECLOSURE",157,2,2,3842455,1771,"008 Austyn Neck","Rockville","MD",20848,"hi"
"774 Cartwright Park","2018-06-11T18:20:53.976Z","FOR SALE",49,2,8,3621913,1173,"2747 Rohan Corner","Rockville","MD",20849,"hi"
"775 Cartwright Park","2018-07-24T10:05:57.642Z","FORECLOSURE",131,0,3,2110716,1923,"79361 Blake Court","Rockville","MD",20849,"hi"
"776 Cartwright Park","2018-10-14T18:27:39.720Z","FORECLOSURE",10,1,7,3899043,854,"82858 Lempi Greens","Rockville","MD",20877,"hi"
"777 Cartwright Park","2018-07-20T05:24:54.059Z","FOR RENT",31,1,10,2645951,976,"733 Robin Valley","Rockville","MD",20850,"hi"
"778 Cartwright Park","2018-07-31T17:14:51.378Z","FOR SALE",139,0,10,3452082,803,"258 Mauricio Crescent","Rockville","MD",20853,"hi"
"779 Cartwright Park","2018-07-19T16:17:53.503Z","FOR RENT",103,0,2,1626107,1905,"804 Karolann Union","Rockville","MD",20849,"hi"
"780 Cartwright Park","2018-05-13T20:45:39.244Z","SOLD",153,0,2,603526,1666,"77441 Francesco Isle","Rockville","MD",20849,"hi"
"781 Cartwright Park","2018-09-16T19:48:13.929Z","FOR RENT",185,0,4,624716,1031,"05133 Funk Mills","Rockville","MD",20854,"hi"
"782 Cartwright Park","2018-05-07T16:49:04.383Z","FORECLOSURE",40,3,4,1200800,2314,"66592 Graham Crossroad","Rockville","MD",20851,"hi"
"783 Cartwright Park","2018-06-29T22:35:26.970Z","FOR RENT",155,1,5,227111,975,"035 Darryl Knoll","Rockville","MD",20857,"hi"
"784 Cartwright Park","2018-08-04T15:25:35.552Z","AUCTION",130,3,5,2746783,3854,"8995 Deckow Village","Rockville","MD",20854,"hi"
"785 Cartwright Park","2018-06-26T15:26:24.095Z","FOR SALE",90,3,6,2979723,3723,"330 Armstrong Inlet","Rockville","MD",20852,"hi"
"786 Cartwright Park","2018-05-23T02:49:25.409Z","FORECLOSURE",66,1,6,1357403,1959,"6799 Gutkowski Dam","Rockville","MD",20877,"hi"
"787 Cartwright Park","2018-07-16T13:25:17.823Z","AUCTION",99,3,7,390818,1490,"055 Wyman Orchard","Rockville","MD",20850,"hi"
"788 Cartwright Park","2018-07-20T02:49:19.918Z","FOR RENT",110,4,7,2007607,3125,"620 Delfina Drive","Rockville","MD",20850,"hi"
"789 Cartwright Park","2018-05-14T08:26:55.319Z","FOR RENT",151,4,8,624887,888,"9214 Elena Landing","Rockville","MD",20853,"hi"
"790 Cartwright Park","2018-08-18T12:00:02.770Z","SOLD",64,4,1,1033247,2330,"113 Clint Harbor","Rockville","MD",20848,"hi"
"791 Cartwright Park","2018-09-12T07:03:01.225Z","AUCTION",98,4,6,1130025,1446,"3914 Delta Ridge","Rockville","MD",20854,"hi"
"792 Cartwright Park","2018-09-02T03:11:51.727Z","FOR SALE",164,0,7,424981,793,"8598 Ralph Pike","Rockville","MD",20877,"hi"
"793 Cartwright Park","2018-10-10T08:19:22.774Z","FOR RENT",94,0,2,953974,2085,"42812 Beier Centers","Rockville","MD",20853,"hi"
"794 Cartwright Park","2018-07-09T02:36:05.311Z","AUCTION",23,4,0,2899782,512,"369 Annamarie Neck","Rockville","MD",20847,"hi"
"795 Cartwright Park","2018-09-12T02:42:26.787Z","FOR SALE",57,0,2,2755900,3281,"757 Boyle Corners","Rockville","MD",20857,"hi"
"796 Cartwright Park","2018-08-30T05:24:42.800Z","FOR RENT",176,1,3,3592612,3217,"509 Johnson Villages","Rockville","MD",20849,"hi"
"797 Cartwright Park","2018-09-21T00:07:54.542Z","FORECLOSURE",24,2,0,679496,2748,"302 Friesen Bypass","Rockville","MD",20857,"hi"
"798 Cartwright Park","2018-06-23T12:08:29.211Z","FOR SALE",10,4,5,2006560,1397,"020 Laurie Garden","Rockville","MD",20877,"hi"
"799 Cartwright Park","2018-05-30T10:40:21.134Z","AUCTION",107,2,6,3362248,2292,"8018 Jasper Highway","Rockville","MD",20853,"hi"
"800 Cartwright Park","2018-07-15T17:47:31.749Z","FOR RENT",123,3,7,2491188,585,"105 Haag Fields","Rockville","MD",20849,"hi"
"801 Cartwright Park","2018-09-20T09:14:54.312Z","OFF MARKET",105,3,6,2867973,2001,"774 Adrianna Plaza","Rockville","MD",20853,"hi"
"802 Cartwright Park","2018-06-10T08:40:06.272Z","FOR RENT",64,4,3,2649472,1352,"304 Rau Lodge","Rockville","MD",20847,"hi"
"803 Cartwright Park","2018-08-05T00:14:33.264Z","AUCTION",37,1,2,1188646,633,"639 Kathryne Ridge","Rockville","MD",20847,"hi"
"804 Cartwright Park","2018-10-11T02:15:27.936Z","OFF MARKET",164,0,1,3907096,1293,"7779 Shaylee Expressway","Rockville","MD",20847,"hi"
"805 Cartwright Park","2018-08-22T08:06:40.096Z","OFF MARKET",133,4,2,2348552,2692,"5744 DuBuque Loop","Rockville","MD",20877,"hi"
"806 Cartwright Park","2018-07-21T20:49:56.269Z","AUCTION",18,0,8,827023,678,"593 Cruickshank Point","Rockville","MD",20877,"hi"
"807 Cartwright Park","2018-08-18T12:19:58.327Z","FOR SALE",49,0,8,1736618,1901,"0509 Jasen Tunnel","Rockville","MD",20852,"hi"
"808 Cartwright Park","2018-08-18T13:04:27.142Z","FOR SALE",68,2,0,3890432,3508,"44505 Kshlerin Landing","Rockville","MD",20877,"hi"
"809 Cartwright Park","2018-05-08T07:35:26.178Z","FOR SALE",200,4,8,3022519,2498,"51360 Abernathy Common","Rockville","MD",20877,"hi"
"810 Cartwright Park","2018-09-07T18:38:54.090Z","SOLD",184,3,1,2788377,1204,"170 Olson Mills","Rockville","MD",20877,"hi"
"811 Cartwright Park","2018-09-03T03:18:45.618Z","AUCTION",118,2,4,1411437,3137,"993 Estell Stravenue","Rockville","MD",20853,"hi"
"812 Cartwright Park","2018-05-12T12:26:20.417Z","SOLD",178,2,7,822059,2264,"44223 Gilda Points","Rockville","MD",20848,"hi"
"813 Cartwright Park","2018-07-03T07:33:04.271Z","FOR RENT",132,1,7,167966,2041,"9193 Breanne Pines","Rockville","MD",20857,"hi"
"814 Cartwright Park","2018-06-14T09:00:36.389Z","AUCTION",48,2,0,833711,1964,"8498 Pedro Cliff","Rockville","MD",20850,"hi"
"815 Cartwright Park","2018-06-28T05:33:14.563Z","SOLD",179,3,1,2316376,1337,"80149 Champlin Viaduct","Rockville","MD",20849,"hi"
"816 Cartwright Park","2018-08-05T21:46:58.968Z","OFF MARKET",23,3,6,584509,2998,"846 Murray Brooks","Rockville","MD",20852,"hi"
"817 Cartwright Park","2018-07-14T07:12:41.669Z","SOLD",83,3,3,1352990,2616,"650 Ondricka Forest","Rockville","MD",20852,"hi"
"818 Cartwright Park","2018-06-19T19:41:06.841Z","AUCTION",76,3,1,3423233,979,"4816 Reed Streets","Rockville","MD",20853,"hi"
